indicator,indicator_type,ip_version,prefix,asn,organization,country,malicious,confidence,category,source,first_seen,last_seen,malware
155.117.130.0/24,MaliciousASNIPv4Prefix,4,155.117.130.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.131.0/24,MaliciousASNIPv4Prefix,4,155.117.131.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.132.0/24,MaliciousASNIPv4Prefix,4,155.117.132.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.133.0/24,MaliciousASNIPv4Prefix,4,155.117.133.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.134.0/24,MaliciousASNIPv4Prefix,4,155.117.134.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.135.0/24,MaliciousASNIPv4Prefix,4,155.117.135.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.14.0/24,MaliciousASNIPv4Prefix,4,155.117.14.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.211.0/24,MaliciousASNIPv4Prefix,4,155.117.211.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.226.0/24,MaliciousASNIPv4Prefix,4,155.117.226.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
155.117.24.0/24,MaliciousASNIPv4Prefix,4,155.117.24.0/24,399073,BUNNY TECHNOLOGY LLC,US,true,high,malicious ASN associated prefix,Spamhaus ASN-DROP + BGP,,,
