prefix,ip_version,sbl_id,source,source_url,last_seen,asn,organization,country
41.71.128.0/17,4,SBL647149,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.150.0/24,4,SBL647138,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.222.0/24,4,SBL647139,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.223.0/24,4,SBL647140,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.224.0/24,4,SBL647141,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.225.0/24,4,SBL647142,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.226.0/24,4,SBL647143,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.229.0/24,4,SBL647144,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.230.0/24,4,SBL647145,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.71.240.0/24,4,SBL647146,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.79.219.0/24,4,SBL216949,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,37424,SPACETEL BENIN SA,BJ
41.138.192.0/18,4,SBL699037,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,20598,Cybercloud Platform Limited,IL
41.231.240.0/22,4,SBL697513,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,328880,STE INTERNET SMART SOLUTIONS,TN
42.0.32.0/19,4,SBL265729,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
42.0.128.0/17,4,SBL677405,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,17789,CNCGROUP IP network of ShangHai IDC,CN
42.128.0.0/12,4,SBL262062,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
42.160.0.0/12,4,SBL262364,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
42.208.0.0/12,4,SBL283229,Spamhaus DROP,https://www.spamhaus.org/drop/drop_v4.json,2026-09-01T21:16:29.663020+00:00,,,
