ip,source,source_url,last_seen,asn,organization,country
137.184.215.52,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.216.111,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.2.163,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.2.189,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.226.118,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.230.75,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.232.245,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.234.51,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.237.182,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.239.43,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.239.60,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.24.227,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.30.153,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.30.252,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.3.112,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.32.56,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.34.68,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.35.179,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.42.236,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.4.26,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.7.132,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.76.52,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.77.90,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.80.156,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.8.114,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.82.231,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.84.232,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.9.201,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.95.216,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.184.99.239,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
137.186.71.142,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,852,TELUS Communications Inc.,CA
138.0.201.164,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,28343,Unifique Telecomunicações SA,BR
138.117.119.145,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264233,WF -TELECOM SERVIÇOS DE TELECOMUNICAÇOES EIRELE ME,BR
138.117.17.143,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263793,TECNET ARGENTINA S.A.,AR
138.117.84.28,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,265688,SINERGY SOLUCIONES INTEGRALES,CO
138.117.94.183,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264232,RCA COMPANY DE TELECOMUNICAÇÕES DE PARANAVAÍ LTDA,BR
138.118.214.71,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264738,Sebastian Souto (SSSERVICIOS),AR
138.118.41.121,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264259,"INTERATIVA TECNOLOGIA, INFORMACAO E COMUNICACAO LT",BR
138.121.104.49,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263790,RED POWER INTERNET SRL,AR
138.121.21.75,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264286,CRICCA COMERCIAL LTDA,BR
138.121.252.23,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,262765,Velloznet Solucoes em Conectividade,BR
138.121.253.141,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,262765,Velloznet Solucoes em Conectividade,BR
138.121.28.230,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264289,PROVEINTER LTDA,BR
138.121.41.167,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,270891,Fernandes e Silva Provedor de Internet Ltda-Me,BR
138.121.93.131,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263848,Ebert Informatica,BR
138.122.150.107,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264337,NET COM INFORMATICA LTDA - ME,BR
138.185.131.228,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263914,speed wifi telecom,BR
138.185.155.57,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,268257,SIDI SERVIÇOS DE COMUNICAÇÃO LTDA-ME,BR
138.185.185.235,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,61893,RMS Telecom,BR
138.185.203.3,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263849,STAR NET - PROVEDOR E SERVICOS DE INTERNET LTDA -,BR
138.185.203.81,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263849,STAR NET - PROVEDOR E SERVICOS DE INTERNET LTDA -,BR
138.185.23.103,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,264332,CONEXÃO INOVE TELECOMUNICAÇÕES LTDA ME,BR
138.186.119.25,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,28146,MHNET TELECOM,BR
138.197.137.57,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.143.176,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.146.59,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.154.61,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.155.203,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.157.0,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.173.137,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.173.138,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.174.62,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.174.71,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.196.239,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.200.125,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.206.208,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.218.217,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.221.54,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.222.233,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.28.52,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.38.228,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.197.97.65,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14061,DigitalOcean LLC,US
138.2.117.3,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,31898,Oracle Cloud,US
138.204.173.76,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,272636,ZOE NET TELECOMUNICACOES E TECNOLOGIA LTDA,BR
138.204.211.180,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,28294,GIGA MAIS FIBRA TELECOMUNICACOES S.A.,BR
138.204.211.40,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,28294,GIGA MAIS FIBRA TELECOMUNICACOES S.A.,BR
138.204.26.10,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,14868,Ligga Telecomunicações S.A.,BR
138.204.44.210,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,266192,LP PROVEDORA DE INTERNET E INSTALAÇÕES DE REDES TE,BR
138.219.112.68,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263926,Colares Provedor e Servicos de Internet LTDA - ME,BR
138.219.49.184,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,273309,UNI TELECOM LTDA,BR
138.219.54.185,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263924,Sonik Serviços de Comunicação LTDA,BR
138.219.54.195,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,263924,Sonik Serviços de Comunicação LTDA,BR
138.219.9.37,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,272419,LINKRM LTDA,BR
138.226.239.10,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,213474,HomeLine Broadband LLC,US
138.226.239.11,CINS Army,https://cinsscore.com/list/ci-badguys.txt,2026-08-31T04:21:36.829485+00:00,213474,HomeLine Broadband LLC,US
